x	m-w	fho
0,03503	2,0378e-08	1,054e-06
0,038421	3,21e-08	7,58e-07
0,041179	4,657e-08	5,777e-07
0,043779	6,633e-08	4,688e-07
0,046929	1,0224e-07	3,969e-07
0,048838	1,3322e-07	3,668e-07
0,050235	1,6184e-07	3,58e-07
0,053695	2,628e-07	3,819e-07
0,057154	4,275e-07	4,162e-07
0,060767	7,111e-07	5,48e-07
0,064223	1,156e-06	7,368e-07
0,066568	1,6052e-06	9,451e-07
0,067755	1,894e-06	1,0775e-06
0,071288	3,086e-06	1,5758e-06
0,07474	4,955e-06	2,454e-06
0,078492	8,32e-06	4,192e-06
0,078741	8,613e-06	4,338e-06
0,083291	1,631e-05	7,998e-06
0,089567	3,948e-05	1,9808e-05
0,092456	5,917e-05	2,988e-05
0,095685	9,257e-05	4,703e-05
0,102039	0,00022058	0,00011649
0,104616	0,0003132	0,00016922
0,109648	0,0006227	0,0003488
0,116473	0,0015902	0,0009013
0,116776	0,0016581	0,0009401
0,122435	0,003653	0,0020955
0,122817	0,003855	0,0022128
